CONSTANT_MODS
HexNAc2Hex8Phospho2Fuc (N)
HexNAc2Hex8Phospho2Fuc2 (N)
HexNAc2Hex9 (N)
HexNAc2Hex9Phospho (N)
HexNAc2Hex9PhosphoFuc (N)
HexNAc2Hex9PhosphoFuc2 (N)
HexNAc2Hex9Phospho2 (N)
HexNAc2Hex9Phospho2Fuc (N)
HexNAc2Hex9Phospho2Fuc2 (N)
HexNAc2Hex10 (N)
HexNAc2Hex10Fuc (N)
HexNAc2Hex11 (N)
HexNAc2Hex12 (N)
HexNAc2NeuAc (ST)
HexNAc2Xyl (N)
HexNAc3 (ST)
HexNAc3Fuc (ST)
HexNAc3Hex (ST)
HexNAc3HexFuc (ST)
HexNAc3HexFucNeuAc (ST)
HexNAc3HexFucNeuGc (ST)
HexNAc3HexFuc2 (ST)
HexNAc3HexFuc2NeuAc (ST)
HexNAc3HexNeuAc (ST)
HexNAc3HexSulfo (ST)
HexNAc3Hex2 (ST)
HexNAc3Hex2Fuc (ST)
HexNAc3Hex2FucNeuAc (ST)
HexNAc3Hex2Fuc2 (ST)
HexNAc3Hex2Fuc2NeuAc (ST)
HexNAc3Hex2Fuc3 (ST)
HexNAc3Hex2Fuc4 (ST)
HexNAc3Hex2NeuAc (ST)
HexNAc3Hex2NeuAc2 (ST)
HexNAc3Hex2Sulfo (ST)
HexNAc3Hex3 (N)
HexNAc3Hex3 (ST)
HexNAc3Hex3Fuc (N)
HexNAc3Hex3Fuc (ST)
HexNAc3Hex3FucNeuAc (ST)
HexNAc3Hex3FucNeuAc2 (ST)
HexNAc3Hex3Fuc2 (N)
HexNAc3Hex3Fuc2 (ST)
HexNAc3Hex3Fuc2NeuAc (ST)
HexNAc3Hex3Fuc2NeuAc2 (ST)
HexNAc3Hex3Fuc3 (ST)
HexNAc3Hex3NeuAc (ST)
HexNAc3Hex3NeuAc2 (ST)
HexNAc3Hex3NeuAc3 (ST)
HexNAc3Hex3NeuAc4 (ST)
HexNAc3Hex3NeuAc5 (ST)
HexNAc3Hex3NeuAc6 (ST)
HexNAc3Hex3Xyl (N)
HexNAc3Hex4 (N)
HexNAc3Hex4 (ST)
HexNAc3Hex4Fuc (N)
HexNAc3Hex4Fuc (ST)
HexNAc3Hex4FucNeuAc (N)
HexNAc3Hex4FucNeuAc (ST)
HexNAc3Hex4FucNeuGc (N)
HexNAc3Hex4Fuc2 (N)
HexNAc3Hex4Fuc2 (ST)
HexNAc3Hex4NeuAc (N)
HexNAc3Hex4NeuGc (N)
HexNAc3Hex5 (N)
HexNAc3Hex5 (ST)
HexNAc3Hex5Fuc (N)
HexNAc3Hex5Fuc (ST)
HexNAc3Hex5FucNeuAc (N)
HexNAc3Hex5FucNeuGc (N)
HexNAc3Hex5Fuc2 (N)
HexNAc3Hex5NeuAc (N)
HexNAc3Hex5NeuGc (N)
HexNAc3Hex5NeuGcNeuGcAc (N)
HexNAc3Hex5Phospho (N)
HexNAc3Hex5PhosphoFuc (N)
HexNAc3Hex5PhosphoFuc2 (N)
HexNAc3Hex5Phospho2 (N)
HexNAc3Hex5Phospho2Fuc (N)
HexNAc3Hex5Phospho2Fuc2 (N)
HexNAc3Hex5Sulfo (ST)
HexNAc3Hex6 (N)
HexNAc3Hex6Fuc (N)
HexNAc3Hex6FucNeuAc (N)
HexNAc3Hex6FucNeuGc (N)
HexNAc3Hex6Fuc2 (N)
HexNAc3Hex6NeuAc (N)
HexNAc3Hex6NeuGc (N)
HexNAc3Hex6Phospho (N)
HexNAc3Hex6PhosphoFuc (N)
HexNAc3Hex6PhosphoFuc2 (N)
HexNAc3Hex6Phospho2 (N)
HexNAc3Hex6Phospho2Fuc (N)
HexNAc3Hex6Phospho2Fuc2 (N)
HexNAc3Hex7 (N)
HexNAc3Hex7Fuc (N)
HexNAc3Hex7FucNeuAc (N)
HexNAc3Hex7FucNeuGc (N)
HexNAc3Hex7NeuAc (N)
HexNAc3Hex7NeuGc (N)
HexNAc3Hex7Phospho (N)
HexNAc3Hex7PhosphoFuc (N)
HexNAc3Hex7PhosphoFuc2 (N)
HexNAc3Hex7Phospho2 (N)
