VARIABLE_MODS
HexNAc2Hex2FucNeuAcAc (ST)
HexNAc2Hex2FucNeuAcAc2 (Neutral loss)
HexNAc2Hex2FucNeuAcAc2 (ST)
HexNAc2Hex2FucNeuAcNeuAcAc (Neutral loss)
HexNAc2Hex2FucNeuAcNeuAcAc (ST)
HexNAc2Hex2FucNeuAc2 (Neutral loss)
HexNAc2Hex2FucNeuAc2 (ST)
HexNAc2Hex2FucNeuAc2NeuAc (Neutral loss)
HexNAc2Hex2FucNeuAc2NeuAc (ST)
HexNAc2Hex2FucNeuAc2NeuAcAc (Neutral loss)
HexNAc2Hex2FucNeuAc2NeuAcAc (ST)
HexNAc2Hex2FucNeuAc2NeuAcAc2 (Neutral loss)
HexNAc2Hex2FucNeuAc2NeuAcAc2 (ST)
HexNAc2Hex2Fuc2 (Neutral loss)
HexNAc2Hex2Fuc2 (ST)
HexNAc2Hex2Fuc2NeuAc (Neutral loss)
HexNAc2Hex2Fuc2NeuAc (ST)
HexNAc2Hex2Fuc3 (Neutral loss)
HexNAc2Hex2Fuc3 (ST)
HexNAc2Hex2NeuAc (Neutral loss)
HexNAc2Hex2NeuAc (ST)
HexNAc2Hex2NeuAcAc (Neutral loss)
HexNAc2Hex2NeuAcAc (ST)
HexNAc2Hex2NeuAcAc2 (Neutral loss)
HexNAc2Hex2NeuAcAc2 (ST)
HexNAc2Hex2NeuAcAc3 (Neutral loss)
HexNAc2Hex2NeuAcAc3 (ST)
HexNAc2Hex2NeuAcAc4 (Neutral loss)
HexNAc2Hex2NeuAcAc4 (ST)
HexNAc2Hex2NeuAcNeuAcAc (Neutral loss)
HexNAc2Hex2NeuAcNeuAcAc (ST)
HexNAc2Hex2NeuAcNeuAcAc2 (Neutral loss)
HexNAc2Hex2NeuAcNeuAcAc2 (ST)
HexNAc2Hex2NeuAcNeuAcAc3 (Neutral loss)
HexNAc2Hex2NeuAcNeuAcAc3 (ST)
HexNAc2Hex2NeuAcNeuGc (Neutral loss)
HexNAc2Hex2NeuAcNeuGc (ST)
HexNAc2Hex2NeuAc2 (Neutral loss)
